expe,attack_type,alpha,beta,gamma,graph1_prop,common_prop,iter_number,impossible_edges,reconstructed_edges,unknown_edges,TP,FP,TN,FN,time
0,D,None,None,None,0.0,0,0,1871929,956,4302340,956,0,1871929,0,411.89221119880676
0,P,None,None,None,0,1,0,6165084,10141,0,10105,36,6165051,33,885.2451589107513
0,DP,0.0,0.0,0.0,0.0,0,0,6165084,10141,0,10111,30,6165057,27,1016.268039226532
0,DP,0.75,0.25,0.0,0.0,0,0,6165084,10141,0,10111,30,6165057,27,372.6063747406006
0,DPD,0.0,0.0,0.0,0.0,0,0,6165119,10106,0,10106,0,6165087,32,815.5102500915527
0,DPD,0.75,0.25,0.0,0.0,0,0,6165119,10106,0,10106,0,6165087,32,789.9669291973114
