expe,attack_type,alpha,beta,gamma,graph1_prop,common_prop,iter_number,impossible_edges,reconstructed_edges,unknown_edges,TP,FP,TN,FN,time
0,D,None,None,None,0.0,0,0,3025,0,9147600,0,0,3025,0,204.06853699684143
0,P,None,None,None,0,1,0,9124605,26020,0,25940,80,9124289,316,1193.1782748699188
0,DP,0.0,0.0,0.0,0.0,0,0,9124630,25995,0,25977,18,9124351,279,1441.6916770935059
0,DP,0.75,0.25,0.0,0.0,0,0,9124606,26019,0,25965,54,9124315,291,507.89103293418884
0,DPD,0.0,0.0,0.0,0.0,0,0,9124657,25968,0,25964,4,9124365,292,927.0219111442566
